"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"
"1"	53	0	8	8	18	29	28	1	2	0	2	11	7	4	14	1	1	17	13	5	8	2	19	0	1	3	2	0	14	0
"2"	24	13	0	0	17	58	6	1	0	5	1	6	6	10	3	2	1	10	15	4	6	0	4	0	0	0	0	0	0	0
"3"	59	11	0	4	13	0	22	5	1	7	0	6	5	3	12	1	2	12	6	6	12	0	9	3	2	0	0	2	2	9
"4"	46	1	0	9	12	0	20	1	1	0	1	12	7	5	14	1	1	25	14	4	12	0	1	9	1	0	3	0	10	0
"5"	66	0	0	0	0	0	34	1	0	0	1	8	16	4	19	0	4	18	16	9	15	0	5	6	2	0	1	0	14	0
"6"	30	15	4	6	14	0	17	0	0	7	1	3	5	3	4	1	0	5	11	3	6	0	2	4	1	0	0	0	3	0
"7"	44	15	4	0	22	0	13	1	0	0	1	8	11	3	11	1	2	13	5	8	10	1	0	7	1	6	0	0	8	0
"8"	54	11	4	6	17	0	17	0	0	0	0	6	3	3	4	2	1	11	8	6	13	9	0	7	0	0	0	0	1	7
"9"	39	9	10	19	21	18	37	1	0	16	2	8	12	4	33	3	2	26	25	13	14	4	0	0	0	1	2	0	2	7
"10"	54	0	0	0	12	0	0	1	2	0	0	6	4	3	14	1	1	20	8	0	8	4	0	8	3	0	0	1	6	0
"11"	32	8	0	4	9	6	16	2	0	0	5	21	15	14	20	0	1	16	3	21	49	2	0	0	1	0	2	1	5	0
"12"	61	0	1	8	9	0	12	0	0	0	1	8	6	5	8	0	1	20	12	0	10	0	0	8	0	2	2	1	5	0
"13"	47	0	0	11	14	0	22	0	1	0	0	10	4	4	17	1	1	14	10	7	8	0	0	10	1	0	1	2	0	0
"14"	32	0	3	7	9	62	18	0	1	3	1	7	2	3	10	0	1	12	7	8	14	6	15	6	0	0	0	0	10	0
"15"	20	0	0	0	4	0	0	2	0	0	0	16	0	7	3	1	2	7	0	0	0	7	9	0	2	0	0	0	5	0
"16"	57	23	6	8	16	0	29	1	1	2	2	5	4	3	4	2	3	14	14	14	14	8	0	13	0	0	1	0	0	4
"17"	43	0	0	6	16	0	10	2	0	0	2	8	5	6	7	1	1	6	4	0	6	0	1	10	0	11	0	0	4	0
"18"	67	0	0	0	19	1	10	1	0	6	0	4	2	8	16	1	0	8	4	9	3	1	0	9	1	2	0	0	1	16
