"Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides" "Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Barnesiella" "Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Butyricimonas" "Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Odoribacter" "Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Porphyromonadaceae.Parabacteroides" "Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Prevotellaceae.Prevotella" "Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes" "Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus" "Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium" "Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.Eubacterium" "Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XIII.Anaerovorax" "Bacteria.Firmicutes.Clostridia.Clostridiales.Incertae_Sedis_XIV.Blautia" "Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus" "Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Dorea" "Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia" "Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaerotruncus" "Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Butyricicoccus" "Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium" "Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillibacter" "Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus" "Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum" "Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Acidaminococcus" "Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Dialister" "Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Phascolarctobacterium" "Bacteria.Firmicutes.Clostridia.Clostridiales.Veillonellaceae.Veillonella" "Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Coprobacillus" "Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Holdemania" "Bacteria.Firmicutes.Erysipelotrichi.Erysipelotrichales.Erysipelotrichaceae.Turicibacter" "Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Alcaligenaceae.Parasutterella" "Bacteria.Proteobacteria.Betaproteobacteria.Burkholderiales.Alcaligenaceae.Sutterella"
"3001" 2878 0 69 68 341 850 834 2 8 0 5 128 63 21 209 2 2 289 191 28 69 7 367 0 3 13 4 0 203 0
"3003" 578 180 0 0 302 3448 39 2 0 31 1 45 43 107 13 6 3 101 240 23 45 0 17 0 0 0 0 0 0 0
"3004" 3503 143 0 17 169 0 486 29 1 58 0 39 30 14 166 1 5 153 46 42 151 0 85 15 4 0 0 4 5 91
"3006" 2162 1 0 87 149 0 402 1 1 0 1 146 49 35 219 3 2 658 217 24 144 0 2 84 1 0 12 0 107 0
"3007" 4453 0 0 0 0 0 1177 2 0 0 2 80 266 18 382 0 24 358 286 90 244 0 25 48 4 0 1 0 204 0
"3008" 950 237 19 42 219 0 293 0 0 56 2 12 26 10 23 2 0 34 133 10 48 0 6 22 1 0 0 0 11 0
"3009" 1988 232 24 0 505 0 181 3 0 0 1 79 136 12 128 2 4 171 32 68 114 1 0 58 1 40 0 0 74 0
"3010" 2972 123 19 42 289 0 297 0 0 0 0 44 10 12 24 5 2 128 70 41 169 99 0 58 0 0 0 0 2 51
"3011" 1586 85 120 372 449 358 1369 3 0 286 4 67 152 19 1123 10 5 679 666 182 214 17 0 0 0 1 6 0 6 59
"3013" 2997 0 0 0 167 0 0 1 5 0 0 41 18 14 200 1 1 402 74 0 74 19 0 73 10 0 0 3 46 0
"3014" 1082 78 0 22 81 41 256 7 0 0 25 462 227 221 439 0 1 285 10 471 2491 4 0 0 1 0 6 1 33 0
"3015" 3817 0 1 69 96 0 155 0 0 0 3 65 41 28 80 0 3 419 167 0 104 0 0 73 0 5 4 2 27 0
"3016" 2252 0 0 131 219 0 516 0 3 0 0 116 24 21 304 1 2 209 118 54 71 0 0 114 1 0 1 4 0 0
"3017" 1084 0 15 53 83 3862 330 0 3 12 3 62 6 12 102 0 2 146 49 68 196 43 237 41 0 0 0 0 102 0
"3018" 404 0 0 0 17 0 0 5 0 0 0 270 0 54 12 1 5 53 0 0 0 51 93 0 7 0 0 0 26 0
"3019" 3319 535 40 76 273 0 861 2 1 6 5 26 17 13 22 8 10 213 201 219 216 67 0 186 0 0 1 0 0 24
"3020" 1913 0 0 39 266 0 104 7 0 0 6 72 30 48 57 1 1 43 20 0 38 0 1 119 0 136 0 0 23 0
"3022" 4563 0 0 0 368 2 116 2 0 47 0 16 6 74 284 2 0 73 17 96 11 3 0 92 3 4 0 0 1 256
"3023" 5119 3 32 86 279 1 66 1 0 150 0 130 40 49 89 6 6 184 17 94 0 56 0 232 0 0 3 0 3 85
"3025" 1714 0 0 22 280 0 286 0 0 0 1 32 0 1 76 1 1 70 4 3 0 0 0 45 0 0 0 0 1 0
"3026" 422 204 0 44 327 1778 100 0 0 17 1 7 7 5 4 0 0 58 118 6 233 0 32 0 1 0 0 0 29 0
