"x"
"id" "Participant Identifier"
"calor" "Calories"
"prot" "Protein"
"afat" "Animal fat"
"vfat" "Vegetable fat"
"tfat" "Total Fat"
"carbo" "Carbohydrates"
"aofib" "AOAC fiber"
"calc" "Calcium"
"iron" "Iron"
"magn" "Magnesium"
"ph" "Phospherous"
"k" "Potassium"
"zn" "Zinc"
"vitc" "Vitamin C"
"b1" "Vitamin B1"
"b2" "Vitamin B2"
"niacin" "Niacin"
"b6" "Vitamin B6"
"fol98" "Total Folate post 1998"
"retinol" "Retinol"
"carot" "Carotene"
"vita" "Vitamin A"
"satfat" "Saturated fat"
"monfat" "Monunsaturated fat"
"f181" "Oleic"
"poly" "Polyunsaturated fat"
"f182" "Linoleic"
"chol" "Cholesterol"
"meth" "Methionine"
"vitd" "Vitamin D"
"alco" "Alcohol"
"caff" "Caffeine"
"sach" "Sacharin"
"b12" "Vitamin B12"
"panto" "Pantothenic acid"
"sucr" "Sucrose"
"sodium" "Sodium"
"aprot" "Animal Protein"
"lact" "Lactose"
"trypto" "Tryptophan"
"mn" "Manganese"
"omega" "Omega 3,no alpha-linolenic acid"
"iodine" "Iodine"
"se" "Selenium"
"cu" "Copper"
"fruct" "Fructose"
"f183" "Linolenic fatty acid"
"f40" "Butyric fatty acid"
"f60" "Caproic fatty acid"
"f80" "Caprylic fatty acid"
"f100" "Capric fatty acid"
"f120" "Lauric fatty acid"
"f140" "Myristic fatty acid"
"f160" "Palmitic fatty acid"
"f180" "Stearic fatty acid"
"f161" "Palmitoleic fatty acid"
"f201" "Eicosenoic fatty acid"
"f204" "Arachadonic fatty acid"
"f205" "Eicosapentaenoic fatty acid (EPA)"
"f225" "Docosapentaenoic fatty acid (DPA)"
"f226" "Docosahexaenoic fatty acid (DHA)"
"glut" "Glutamate"
"asp" "Asparate"
"calc_wo" "Calcium w/o vit. pills"
"iron_wo" "Iron w/o vit. pills"
"zn_wo" "Zinc w/o vit. pills"
"vitc_wo" "Vitamin C w/o vit. pills"
"b1_wo" "Thiamine B1 w/o vit. pills"
"b2_wo" "Riboflavin B2 w/o vit. pills"
"b6_wo" "Pyridoxine B6 w/o vit. pills"
"fol98_wo" "Total Folate w/o vit. pills"
"ret_wo" "Retinol w/o vit. pills"
